,loss
976,0.43522736
977,0.43515572
978,0.43508455
979,0.43501335
980,0.43494228
981,0.43487105
982,0.4348
983,0.4347288
984,0.43465772
985,0.43458623
986,0.43451452
987,0.434442
988,0.43436864
989,0.43429413
990,0.43421882
991,0.43414274
992,0.43406662
993,0.43399057
994,0.43391505
995,0.43383992
996,0.43376523
997,0.43369073
998,0.43361613
999,0.4335415
1000,0.43346658
1001,0.4333917
1002,0.43331665
1003,0.4332419
1004,0.43316773
1005,0.43309444
1006,0.43302214
1007,0.43295035
1008,0.43287748
1009,0.43280008
1010,0.4327152
1011,0.4326221
1012,0.4325254
1013,0.432432
1014,0.43234617
1015,0.43226677
1016,0.43218914
1017,0.4321081
1018,0.43202063
1019,0.43192753
1020,0.4318325
1021,0.4317395
1022,0.43165022
1023,0.43156335
1024,0.43147612
1025,0.4313862
1026,0.4312931
1027,0.43119782
1028,0.43110257
1029,0.4310089
1030,0.43091697
1031,0.4308261
1032,0.43073523
1033,0.43064347
1034,0.43055078
1035,0.43045777
1036,0.4303651
1037,0.43027332
1038,0.4301827
1039,0.43009317
1040,0.4300044
1041,0.42991593
1042,0.42982763
1043,0.4297394
1044,0.42965123
1045,0.4295634
1046,0.429476
1047,0.42938897
1048,0.42930254
1049,0.42921656
1050,0.42913103
1051,0.42904583
1052,0.42896095
1053,0.42887637
1054,0.42879206
1055,0.42870805
1056,0.4286243
1057,0.42854086
1058,0.42845777
1059,0.4283751
1060,0.4282929
1061,0.4282114
1062,0.42813066
1063,0.42805105
1064,0.4279727
1065,0.42789602
1066,0.427821
1067,0.42774767
1068,0.42767447
1069,0.42760003
1070,0.4275214
1071,0.42743808
1072,0.42735156
1073,0.4272668
1074,0.4271877
1075,0.4271156
1076,0.4270484
1077,0.4269825
1078,0.42691487
1079,0.42684388
1080,0.42677042
1081,0.426697
1082,0.42662606
1083,0.42655858
1084,0.42649388
1085,0.42643017
1086,0.42636576
1087,0.4262999
1088,0.42623276
1089,0.42616543
1090,0.42609882
1091,0.42603377
1092,0.42596996
1093,0.425907
1094,0.42584404
1095,0.4257807
1096,0.4257169
1097,0.42565286
1098,0.42558894
1099,0.4255255
1100,0.42546263
1101,0.42540053
1102,0.42533886
1103,0.4252776
1104,0.42521647
1105,0.42515555
1106,0.4250946
1107,0.42503372
1108,0.42497298
1109,0.42491242
1110,0.42485216
1111,0.4247922
1112,0.42473242
1113,0.42467305
1114,0.4246139
1115,0.42455494
1116,0.42449626
1117,0.4244377
1118,0.42437944
1119,0.4243213
1120,0.42426336
1121,0.42420557
1122,0.42414802
1123,0.42409065
1124,0.42403352
1125,0.42397663
1126,0.42392012
1127,0.4238638
1128,0.42380795
1129,0.4237526
1130,0.42369783
1131,0.4236438
1132,0.42359075
1133,0.42353866
1134,0.42348754
1135,0.42343682
1136,0.42338565
1137,0.42333236
1138,0.4232756
1139,0.42321488
1140,0.4231521
1141,0.42309025
1142,0.4230321
1143,0.42297828
1144,0.42292777
1145,0.4228783
1146,0.42282772
1147,0.42277473
1148,0.42271936
1149,0.4226629
1150,0.42260683
1151,0.42255262
1152,0.4225003
1153,0.42244947
1154,0.42239895
