,loss
317,0.0045638885
318,0.0019974005
319,0.0023626168
320,0.0034896
321,0.0012406104
322,0.0027949316
323,0.002239936
324,0.0012550234
325,0.0025915918
326,0.0014493034
327,0.0013975936
328,0.002125285
329,0.0010667231
330,0.0013818943
331,0.0016761976
332,0.0008770062
333,0.0012422163
334,0.0013495943
335,0.00077189296
336,0.0010664938
337,0.0011383092
338,0.00070185185
339,0.00088230125
340,0.0009928338
341,0.0006607664
342,0.00070992834
343,0.00087142014
344,0.0006597806
345,0.0005811555
346,0.0007394256
347,0.00067637814
348,0.000525777
349,0.00059461285
350,0.00065514364
351,0.00054396497
352,0.000493715
353,0.0005685154
354,0.0005690987
355,0.0004850176
356,0.00047427794
357,0.0005253617
358,0.0005148763
359,0.00045773233
360,0.0004507667
361,0.00048432383
362,0.00048203033
363,0.00044411703
364,0.00042995898
365,0.00044938468
366,0.00045792502
367,0.00043734902
368,0.00041756863
369,0.0004215785
370,0.0004336876
371,0.00043035013
372,0.00041453174
373,0.00040580798
374,0.0004105502
375,0.00041660876
376,0.00041291374
377,0.00040289384
378,0.00039705407
379,0.0003989323
380,0.00040262856
381,0.00040160323
382,0.00039595057
383,0.0003907552
384,0.00038963094
385,0.000391411
386,0.00039241396
387,0.00039054704
388,0.00038690082
389,0.00038397426
390,0.0003831484
391,0.00038376928
392,0.00038418462
393,0.0003833119
394,0.0003813255
395,0.00037921773
396,0.00037786737
397,0.00037745788
398,0.00037752977
399,0.00037744275
400,0.000376825
401,0.00037571124
402,0.00037442351
403,0.00037331475
404,0.0003725711
405,0.0003721684
406,0.00037193758
407,0.00037168508
408,0.00037128513
409,0.0003707069
410,0.00036999732
411,0.00036924458
412,0.00036852315
413,0.00036788985
414,0.0003673588
415,0.00036691854
416,0.00036654496
417,0.00036620698
418,0.00036588326
419,0.000365559
420,0.00036523072
421,0.00036489326
422,0.00036455403
423,0.00036422114
424,0.0003639
425,0.00036360114
426,0.0003633408
427,0.00036313382
428,0.0003630113
429,0.0003630114
430,0.0003632027
431,0.0003636917
432,0.00036465324
433,0.00036638055
434,0.00036938913
435,0.0003745545
436,0.00038346497
437,0.0003989156
438,0.00042614786
439,0.0004745578
440,0.00056251144
441,0.0007233119
442,0.0010246107
443,0.0015871872
444,0.0026647206
445,0.004671254
446,0.008465652
447,0.014946068
448,0.025485555
449,0.03703863
450,0.04370526
451,0.031246291
452,0.009071178
453,0.0012364321
454,0.013205971
455,0.01762614
456,0.0047963276
457,0.0020373731
458,0.010854704
459,0.0073133954
460,0.00076731236
461,0.0059469217
462,0.006604328
463,0.0011138021
464,0.0037148679
465,0.005140207
466,0.0011910326
467,0.0028291538
468,0.003914719
469,0.0011283839
470,0.0024516224
471,0.0030207406
472,0.0010190462
473,0.0020909517
474,0.0023758446
475,0.00091833854
